"Date","Open","High","Low","Close","Volume","OI","Trend ‌Supertrend‌ (7,3)"
"Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time)","418.00","418.85","405.00","410.25","1300.00","16800.00","468.19"
"Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time)","410.25","422.80","410.25","422.80","225.00","16800.00","468.19"
"Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time)","422.80","422.80","390.00","390.45","1250.00","17075.00","466.40"
"Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time)","390.45","399.35","388.65","395.55","2250.00","18550.00","450.02"
"Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time)","395.55","395.55","355.80","355.80","6300.00","21850.00","440.73"
"Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time)","355.80","360.25","343.70","352.50","8225.00","23675.00","414.83"
"Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time)","352.50","361.90","350.00","361.90","925.00","24825.00","414.83"
"Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time)","361.90","362.20","355.50","355.50","2725.00","23875.00","412.27"
"Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time)","355.50","359.60","340.90","348.50","3325.00","24575.00","404.05"
"Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time)","348.50","351.20","340.25","343.25","2125.00","26325.00","396.53"
"Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time)","343.25","351.45","343.25","343.55","400.00","26625.00","394.41"
"Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time)","343.55","360.00","342.35","353.90","1575.00","26700.00","394.41"
"Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time)","353.90","355.55","344.90","349.25","3500.00","28775.00","394.41"
"Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time)","349.25","349.25","332.05","342.35","1900.00","29050.00","387.13"
"Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time)","342.35","342.35","336.70","339.80","850.00","29925.00","381.79"
"Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time)","339.80","343.35","335.60","339.50","2450.00","31225.00","379.02"
"Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time)","339.50","340.60","329.40","335.85","4400.00","33475.00","373.70"
"Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time)","335.85","343.00","333.60","336.25","2625.00","32800.00","373.70"
"Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time)","336.25","347.50","329.00","347.50","925.00","33000.00","373.70"
"Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time)","347.50","357.00","342.45","357.00","1800.00","33350.00","373.70"
"Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time)","357.00","362.00","351.00","354.70","1725.00","33075.00","373.70"
"Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time)","354.70","368.00","354.70","360.55","2300.00","33075.00","373.70"
"Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time)","360.55","368.00","349.30","353.40","2825.00","32350.00","373.70"
"Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time)","353.40","360.15","348.20","355.00","1025.00","33850.00","373.70"
"Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time)","355.00","361.75","352.50","352.85","650.00","34125.00","373.70"
"Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time)","352.85","353.45","350.35","351.90","725.00","34475.00","373.70"
"Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time)","351.90","361.00","347.85","357.30","2250.00","34475.00","373.70"
"Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time)","357.30","379.00","357.30","375.00","2600.00","33350.00","328.45"
"Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time)","375.00","376.20","367.80","370.00","3475.00","32100.00","334.37"
"Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time)","370.00","370.00","352.00","354.90","825.00","31325.00","334.37"
"Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time)","354.90","355.00","348.00","354.75","500.00","31400.00","334.37"
"Thu May 09 2024 12:35:00 GMT+0530 (India Standard Time)","354.75","358.35","340.00","341.00","2450.00","31800.00","334.37"
"Thu May 09 2024 12:40:00 GMT+0530 (India Standard Time)","341.00","344.65","333.00","338.15","2000.00","33525.00","334.37"
"Thu May 09 2024 12:45:00 GMT+0530 (India Standard Time)","338.15","338.15","305.00","308.55","11450.00","36300.00","369.30"
"Thu May 09 2024 12:50:00 GMT+0530 (India Standard Time)","308.55","309.80","282.10","289.30","22375.00","38100.00","348.73"
"Thu May 09 2024 12:55:00 GMT+0530 (India Standard Time)","289.30","289.35","274.10","286.00","25625.00","52025.00","333.50"
"Thu May 09 2024 13:00:00 GMT+0530 (India Standard Time)","286.00","297.65","285.00","295.00","22400.00","53150.00","333.50"
"Thu May 09 2024 13:05:00 GMT+0530 (India Standard Time)","295.00","300.00","288.65","295.35","12475.00","54225.00","333.50"
"Thu May 09 2024 13:10:00 GMT+0530 (India Standard Time)","295.35","295.35","286.00","291.35","15850.00","57575.00","333.50"
"Thu May 09 2024 13:15:00 GMT+0530 (India Standard Time)","291.35","293.65","287.20","288.75","8025.00","55700.00","331.56"
"Thu May 09 2024 13:20:00 GMT+0530 (India Standard Time)","288.75","289.00","266.60","266.60","14575.00","54375.00","322.66"
