Date,Open,High,Low,Close,"Trend ‌Supertrend‌ (7,3)"
Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time),22219.8,22231.35,22209.85,22221.4,22317.55
Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time),22222.75,22237.15,22219.75,22229.25,22317.55
Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time),22230.1,22234.85,22188.35,22194.4,22309.15
Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time),22194.4,22210.25,22184,22200,22291.99
Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time),22200.05,22201.2,22151.6,22151.6,22278.97
Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time),22154,22159.95,22130.15,22142.8,22245.74
Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time),22142.45,22159.1,22138.15,22158.85,22243.91
Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time),22157.25,22162.8,22142.25,22149.4,22243
Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time),22149.45,22156.3,22130.1,22137.45,22231.98
Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time),22138.45,22145.45,22126.65,22137.9,22220.21
Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time),22137.8,22149,22133.6,22134.05,22220.03
Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time),22133.75,22159.6,22129.15,22156.05,22220.03
Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time),22156.35,22157.8,22138.55,22148.95,22220.03
Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time),22147.8,22150.45,22125.45,22140.3,22214.9
Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time),22140.35,22142.35,22128.65,22138.8,22207.33
Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time),22138.4,22145.35,22127.85,22130.75,22205.67
Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time),22130.5,22143.4,22122.05,22130.6,22201.08
Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time),22130.75,22144.6,22126.5,22133.9,22201.08
Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time),22134.15,22152.55,22125.45,22148.2,22201.08
Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time),22147.9,22165.25,22142.7,22163.9,22201.08
Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time),22164.95,22171.55,22153.2,22162.15,22201.08
Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time),22161.45,22177.45,22156.65,22167.05,22201.08
Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time),22167.5,22176.75,22153.65,22153.65,22201.08
Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time),22155.75,22167.85,22148.4,22165.35,22201.08
Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time),22165.3,22170.75,22153.9,22162.2,22201.08
Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time),22162.5,22165.7,22152.7,22156.6,22201.08
Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time),22156,22168.85,22150.6,22165.95,22201.08
Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time),22165.85,22186.15,22156.6,22180.2,22201.08
Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time),22180.1,22185.1,22172.2,22175.55,22201.08
Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time),22175.25,22175.85,22152,22153.55,22201.08
Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time),22152.85,22156.75,22146.05,22156.75,22201.08
Thu May 09 2024 12:35:00 GMT+0530 (India Standard Time),22156.3,22162.8,22132.4,22134.15,22201.08
Thu May 09 2024 12:40:00 GMT+0530 (India Standard Time),22134.5,22140.45,22125.05,22127.4,22192.56
Thu May 09 2024 12:45:00 GMT+0530 (India Standard Time),22127.05,22133.15,22083.2,22088,22180.84
Thu May 09 2024 12:50:00 GMT+0530 (India Standard Time),22087.3,22091.2,22052.45,22055.9,22150.72
Thu May 09 2024 12:55:00 GMT+0530 (India Standard Time),22056.35,22057.55,22030.95,22046.6,22123.27
Thu May 09 2024 13:00:00 GMT+0530 (India Standard Time),22046.3,22068.45,22045.25,22066,22123.27
Thu May 09 2024 13:05:00 GMT+0530 (India Standard Time),22067.5,22076.1,22059.25,22061.25,22123.27
Thu May 09 2024 13:10:00 GMT+0530 (India Standard Time),22061.05,22062.9,22050.7,22057.95,22123.27
Thu May 09 2024 13:15:00 GMT+0530 (India Standard Time),22058.3,22064.9,22048.9,22055.35,22122.46
Thu May 09 2024 13:20:00 GMT+0530 (India Standard Time),22054.85,22057,22021.25,22022.75,22110.64
Thu May 09 2024 13:25:00 GMT+0530 (India Standard Time),22022.35,22053.15,22021.05,22049.05,22110.64
Thu May 09 2024 13:30:00 GMT+0530 (India Standard Time),22048.9,22056.55,22037.15,22044.35,22110.64
Thu May 09 2024 13:35:00 GMT+0530 (India Standard Time),22044.5,22057.3,22037.35,22054.25,22110.64
Thu May 09 2024 13:40:00 GMT+0530 (India Standard Time),22053.9,22066,22043.1,22045.8,22110.64
Thu May 09 2024 13:45:00 GMT+0530 (India Standard Time),22047.3,22081.95,22045.05,22069.15,22110.64
Thu May 09 2024 13:50:00 GMT+0530 (India Standard Time),22070.15,22073.45,22039.75,22043.05,22110.64
Thu May 09 2024 13:55:00 GMT+0530 (India Standard Time),22043.05,22049.7,22031.05,22041.8,22110.64
Thu May 09 2024 14:00:00 GMT+0530 (India Standard Time),22043.25,22048.45,22025.75,22047.05,22110.64
Thu May 09 2024 14:05:00 GMT+0530 (India Standard Time),22047.95,22069.15,22041.95,22066.8,22110.64
Thu May 09 2024 14:10:00 GMT+0530 (India Standard Time),22066.6,22069.95,22048.75,22061.75,22110.64
Thu May 09 2024 14:15:00 GMT+0530 (India Standard Time),22061,22065.55,22044.3,22047.95,22110.64
Thu May 09 2024 14:20:00 GMT+0530 (India Standard Time),22048.55,22076.9,22045.7,22051.45,22110.64
Thu May 09 2024 14:25:00 GMT+0530 (India Standard Time),22052.15,22063.45,22038.1,22042.95,22110.64
Thu May 09 2024 14:30:00 GMT+0530 (India Standard Time),22042.95,22046.95,22025.6,22030.45,22110.42
Thu May 09 2024 14:35:00 GMT+0530 (India Standard Time),22031.45,22039.4,22004.4,22011.85,22100.45
Thu May 09 2024 14:40:00 GMT+0530 (India Standard Time),22012.45,22018.7,21968.05,21972.4,22082.41
Thu May 09 2024 14:45:00 GMT+0530 (India Standard Time),21972.75,21999.45,21970.5,21993.2,22073.7
Thu May 09 2024 14:50:00 GMT+0530 (India Standard Time),21993.15,22022.85,21993.15,22008.65,22073.7
Thu May 09 2024 14:55:00 GMT+0530 (India Standard Time),22008.55,22016.1,21988.05,21991.9,22073.7
Thu May 09 2024 15:00:00 GMT+0530 (India Standard Time),21991.9,21994.35,21964.85,21971.95,22067.77
Thu May 09 2024 15:05:00 GMT+0530 (India Standard Time),21969.9,21976.8,21952.15,21968.35,22050.62
Thu May 09 2024 15:10:00 GMT+0530 (India Standard Time),21969.75,21976.55,21942.5,21943,22047.95
Thu May 09 2024 15:15:00 GMT+0530 (India Standard Time),21943.2,21948,21932.4,21947.2,22022.68
Thu May 09 2024 15:20:00 GMT+0530 (India Standard Time),21947.95,21953.05,21937.35,21942.25,22022.63
Thu May 09 2024 15:25:00 GMT+0530 (India Standard Time),21942,21968.15,21941.5,21968.15,22022.63
