Unnamed: 0,SYMBOL,NAME OF COMPANY,Industry,SECTOR
0,20MICRONS.NS,20 Microns Limited,Others,Others
1,21STCENMGM.NS,21st Century Management Services Limited,Others,Others
2,360ONE.NS,360 ONE WAM LIMITED,Financial Services,Financial Services
3,3IINFOLTD.NS,3i Infotech Limited,Others,Others
4,3MINDIA.NS,3M India Limited,Diversified,Diversified
5,3PLAND.NS,3P Land Holdings Limited,Others,Others
6,5PAISA.NS,5Paisa Capital Limited,Others,Others
7,63MOONS.NS,63 moons technologies limited,Others,Others
8,A2ZINFRA.NS,A2Z Infra Engineering Limited,Others,Others
9,AAATECH.NS,AAA Technologies Limited,Others,Others
10,AADHARHFC.NS,Aadhar Housing Finance Limited,Others,Others
11,AAKASH.NS,Aakash Exploration Services Limited,Others,Others
12,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,Others,Others
13,AARON.NS,Aaron Industries Limited,Others,Others
14,AARTECH.NS,Aartech Solonics Limited,Others,Others
15,AARTIDRUGS.NS,Aarti Drugs Limited,Healthcare,Healthcare
16,AARTIIND.NS,Aarti Industries Limited,Chemicals,Chemicals
17,AARTIPHARM.NS,Aarti Pharmalabs Limited,Healthcare,Healthcare
18,AARTISURF.NS,Aarti Surfactants Limited,Others,Others
19,AARVEEDEN.NS,Aarvee Denims & Exports Limited,Others,Others
20,AARVI.NS,Aarvi Encon Limited,Others,Others
21,AAVAS.NS,Aavas Financiers Limited,Financial Services,Financial Services
22,ABAN.NS,Aban Offshore Limited,Others,Others
23,ABB.NS,ABB India Limited,Capital Goods,Capital Goods
24,ABBOTINDIA.NS,Abbott India Limited,Healthcare,Healthcare
25,ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,Financial Services
26,ABDL.NS,Allied Blenders and Distillers Limited,Others,Others
27,ABFRL.NS,Aditya Birla Fashion and Retail Limited,Consumer Services,Consumer Services
28,ABMINTLLTD.NS,ABM International Limited,Others,Others
29,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Others,Others
30,ACC.NS,ACC Limited,Construction Materials,Construction Materials
31,ACCELYA.NS,Accelya Solutions India Limited,Information Technology,Information Technology
32,ACCURACY.NS,Accuracy Shipping Limited,Others,Others
33,ACE.NS,Action Construction Equipment Limited,Capital Goods,Capital Goods
34,ACEINTEG.NS,Ace Integrated Solutions Limited,Others,Others
35,ACI.NS,Archean Chemical Industries Limited,Chemicals,Chemicals
36,ACL.NS,Andhra Cements Limited,Others,Others
37,ACLGATI.NS,Allcargo Gati Limited,Others,Others
38,ADANIENSOL.NS,Adani Energy Solutions Limited,Power,Power
39,ADANIENT.NS,Adani Enterprises Limited,Metals & Mining,Metals & Mining
40,ADANIGREEN.NS,Adani Green Energy Limited,Power,Power
41,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Services,Services
42,ADANIPOWER.NS,Adani Power Limited,Power,Power
43,ADFFOODS.NS,ADF Foods Limited,Others,Others
44,ADL.NS,Archidply Decor Limited,Others,Others
45,ADORWELD.NS,Ador Welding Limited,Others,Others
46,ADROITINFO.NS,Adroit Infotech Limited,Others,Others
47,ADSL.NS,Allied Digital Services Limited,Others,Others
48,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,Others,Others
49,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,Healthcare,Healthcare
50,AEGISLOG.NS,Aegis Logistics Limited,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels
51,AEROFLEX.NS,Aeroflex Industries Limited,Others,Others
52,AETHER.NS,Aether Industries Limited,Chemicals,Chemicals
53,AFFLE.NS,Affle (India) Limited,Information Technology,Information Technology
54,AFIL.NS,Akme Fintrade (India) Limited,Others,Others
55,AGARIND.NS,Agarwal Industrial Corporation Limited,Others,Others
56,AGI.NS,AGI Greenpac Limited,Capital Goods,Capital Goods
57,AGIIL.NS,Agi Infra Limited,Others,Others
58,AGRITECH.NS,Agri-Tech (India) Limited,Others,Others
59,AGROPHOS.NS,Agro Phos India Limited,Others,Others
60,AGSTRA.NS,AGS Transact Technologies Limited,Others,Others
61,AHL.NS,Abans Holdings Limited,Others,Others
62,AHLADA.NS,Ahlada Engineers Limited,Others,Others
63,AHLEAST.NS,Asian Hotels (East) Limited,Others,Others
64,AHLUCONT.NS,Ahluwalia Contracts (India) Limited,Construction,Construction
65,AIAENG.NS,AIA Engineering Limited,Capital Goods,Capital Goods
66,AIIL.NS,Authum Investment & Infrastructure Limited,Others,Others
67,AIRAN.NS,Airan Limited,Others,Others
68,AIROLAM.NS,Airo Lam limited,Others,Others
69,AJANTPHARM.NS,Ajanta Pharma Limited,Healthcare,Healthcare
70,AJMERA.NS,Ajmera Realty & Infra India Limited,Others,Others
71,AJOONI.NS,Ajooni Biotech Limited,Others,Others
72,AKASH.NS,Akash Infra-Projects Limited,Others,Others
73,AKG.NS,Akg Exim Limited,Others,Others
74,AKI.NS,AKI India Limited,Others,Others
75,AKSHAR.NS,Akshar Spintex Limited,Others,Others
76,AKSHARCHEM.NS,AksharChem India Limited,Others,Others
77,AKSHOPTFBR.NS,Aksh Optifibre Limited,Others,Others
78,AKUMS.NS,Akums Drugs and Pharmaceuticals Limited,Others,Others
