COMAPANY ,SECTOR,Ticker
Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS
Axis Bank Ltd.,Financial Services,AXISBANK.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS
Cipla Ltd.,Healthcare,CIPLA.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS
Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS
Grasim Industries Ltd.,Construction Materials,GRASIM.NS
HCL Technologies Ltd.,Information Technology,HCLTECH.NS
HDFC Bank Ltd.,Financial Services,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS
ICICI Bank Ltd.,Financial Services,ICICIBANK.NS
IndusInd Bank Ltd.,Financial Services,INDUSINDBK.NS
Infosys Ltd.,Information Technology,INFY.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC.NS
JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK.NS
Larsen & Toubro Ltd.,Construction,LT.NS
LTIMindtree Ltd.,Information Technology,LTIM.NS
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS
NTPC Ltd.,Power,NTPC.NS
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS
Power Grid Corporation of India Ltd.,Power,POWERGRID.NS
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS
State Bank of India,Financial Services,SBIN.NS
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN.NS
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL.NS
Tata Consultancy Services Ltd.,Information Technology,TCS.NS
Tech Mahindra Ltd.,Information Technology,TECHM.NS
Titan Company Ltd.,Consumer Durables,TITAN.NS
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS
Wipro Ltd.,Information Technology,WIPRO.NS
