Date,Open,High,Low,Close,Volume,OI,"Trend ‌Supertrend‌ (7,3)"
Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time),170,176.15,163.2,169,174350,458950,121.22
Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time),168.2,168.7,159.05,163.55,96225,477400,121.22
Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time),163.5,184.25,160.4,179,208250,486450,122.85
Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time),179.85,185,171.85,178.75,128600,462325,130.38
Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time),178.75,209.9,178.75,209.9,272025,402650,139.79
Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time),207.55,219.2,202.25,209.8,225175,309875,156.72
Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time),209.65,214.5,200.25,200.9,80525,305250,156.72
Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time),200.9,209.25,197.55,206.25,36075,300050,156.72
Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time),206.25,215.95,201.2,211.95,36450,297075,159.46
Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time),211.95,219.75,207.4,213.4,48250,291775,166.18
Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time),214.05,215.15,204.2,211.8,27775,275100,166.18
Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time),211.8,217,196.65,201.55,33975,277675,166.18
Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time),201,211.3,201,205,32400,285925,166.18
Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time),204.7,219.7,204.7,211.35,35875,284225,167.04
Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time),211.35,217.3,210.15,212.3,35125,279950,171.96
Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time),212.3,219,208.35,217,50525,267350,173.31
Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time),216.5,223.15,211.15,218.85,51675,254175,177.41
Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time),218.85,222.25,209.7,216.75,27750,249875,177.41
Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time),216.75,221.65,204.6,209.05,40350,249400,177.41
Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time),209.05,210.5,196.75,198.15,24100,246625,177.41
Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time),198.15,202.5,191.55,198.8,33750,244575,177.41
Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time),198.8,201.3,185,193.15,43050,250475,177.41
Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time),193.15,199.3,185.25,198.4,34000,251875,177.41
Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time),198.4,202.6,192.1,195.45,50750,244925,177.41
Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time),193.8,200.9,191.5,197.2,15325,242525,177.41
Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time),197.2,201.8,195.85,201.3,14300,244650,177.41
Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time),201.3,204.1,191.35,191.55,20250,241000,177.41
Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time),191.55,194.95,174,178.7,68400,226800,177.41
Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time),178.7,184.2,176.45,182,19475,229875,177.41
Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time),182,198.55,182,197.2,56000,222650,177.41
Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time),197.2,203.85,192.15,192.45,29600,218100,177.41
Thu May 09 2024 12:35:00 GMT+0530 (India Standard Time),192.45,207.75,189.1,205.1,53625,215325,177.41
Thu May 09 2024 12:40:00 GMT+0530 (India Standard Time),205.1,214,201.45,210,61100,229375,177.41
Thu May 09 2024 12:45:00 GMT+0530 (India Standard Time),210,239,205.55,234.9,154925,213000,177.41
Thu May 09 2024 12:50:00 GMT+0530 (India Standard Time),234.9,259.45,230.95,257.1,61000,200950,190.93
Thu May 09 2024 12:55:00 GMT+0530 (India Standard Time),257.1,275.45,256.1,258.6,50700,183500,210.97
Thu May 09 2024 13:00:00 GMT+0530 (India Standard Time),258.6,259.7,243.45,247.8,12175,187725,210.97
Thu May 09 2024 13:05:00 GMT+0530 (India Standard Time),247.8,253.55,241,246.7,10300,186975,210.97
Thu May 09 2024 13:10:00 GMT+0530 (India Standard Time),246.7,259.05,246.7,250,13850,185700,210.97
Thu May 09 2024 13:15:00 GMT+0530 (India Standard Time),250,257.25,246.9,252.7,7500,184850,210.97
Thu May 09 2024 13:20:00 GMT+0530 (India Standard Time),252.7,279.1,251.8,279,29750,183825,213.56
Thu May 09 2024 13:25:00 GMT+0530 (India Standard Time),279,279.5,252.15,255.75,13650,186225,213.56
Thu May 09 2024 13:30:00 GMT+0530 (India Standard Time),255.75,262.35,249,258.4,9850,186925,213.56
Thu May 09 2024 13:35:00 GMT+0530 (India Standard Time),258.4,261,248.5,248.5,4125,184125,213.56
Thu May 09 2024 13:40:00 GMT+0530 (India Standard Time),248.5,256,240.25,254.85,6275,183525,213.56
Thu May 09 2024 13:45:00 GMT+0530 (India Standard Time),254.85,254.85,227.85,234.4,9200,182600,213.56
Thu May 09 2024 13:50:00 GMT+0530 (India Standard Time),234.4,254.35,233.25,250.7,11200,182975,213.56
Thu May 09 2024 13:55:00 GMT+0530 (India Standard Time),250.7,260,247.8,251.3,11900,180575,213.56
Thu May 09 2024 14:00:00 GMT+0530 (India Standard Time),251.3,267.85,250,250,11950,178475,213.56
Thu May 09 2024 14:05:00 GMT+0530 (India Standard Time),250,251.85,234.8,234.9,12425,177850,213.56
Thu May 09 2024 14:10:00 GMT+0530 (India Standard Time),234.9,245.75,234,239.25,14925,176500,213.56
Thu May 09 2024 14:15:00 GMT+0530 (India Standard Time),239.25,247.2,236.4,244.65,24300,177150,213.56
Thu May 09 2024 14:20:00 GMT+0530 (India Standard Time),244.65,245.8,225.3,241.95,23300,177050,213.56
Thu May 09 2024 14:25:00 GMT+0530 (India Standard Time),241.95,250.5,232.6,247.2,14600,173450,213.56
Thu May 09 2024 14:30:00 GMT+0530 (India Standard Time),247.2,256.8,246.4,254.3,28900,175750,213.56
Thu May 09 2024 14:35:00 GMT+0530 (India Standard Time),254.3,272.5,248.8,267.8,39550,175875,213.56
Thu May 09 2024 14:40:00 GMT+0530 (India Standard Time),267.8,300.65,261.9,293.4,41675,168975,220.89
Thu May 09 2024 14:45:00 GMT+0530 (India Standard Time),293.55,294.4,268,275,21350,161825,220.89
Thu May 09 2024 14:50:00 GMT+0530 (India Standard Time),275,275,255,267.6,14175,165575,220.89
Thu May 09 2024 14:55:00 GMT+0530 (India Standard Time),267.6,278,265.1,276.25,14725,160950,220.89
Thu May 09 2024 15:00:00 GMT+0530 (India Standard Time),276.25,291.05,274.05,286.55,25075,155500,224.51
Thu May 09 2024 15:05:00 GMT+0530 (India Standard Time),286.55,299,284.25,289.6,21050,153725,235.55
Thu May 09 2024 15:10:00 GMT+0530 (India Standard Time),289.6,311.9,284.8,310.25,31575,151475,238.67
Thu May 09 2024 15:15:00 GMT+0530 (India Standard Time),310.25,320.9,305.5,314.9,61850,162825,255.45
Thu May 09 2024 15:20:00 GMT+0530 (India Standard Time),314.9,326.45,310.4,319.45,59625,161450,262.05
Thu May 09 2024 15:25:00 GMT+0530 (India Standard Time),319.45,319.6,303.55,310.55,55525,164300,262.05
Fri May 10 2024 09:15:00 GMT+0530 (India Standard Time),287,304.55,277.9,302.85,39575,165625,262.05
Fri May 10 2024 09:20:00 GMT+0530 (India Standard Time),302.85,314,275,275,48325,173775,262.05
Fri May 10 2024 09:25:00 GMT+0530 (India Standard Time),275,275.2,258,258,40675,177325,327.64
Fri May 10 2024 09:30:00 GMT+0530 (India Standard Time),258,267.95,253.75,266.85,60325,197250,324.14
Fri May 10 2024 09:35:00 GMT+0530 (India Standard Time),266.85,278.1,257.05,276.4,44525,204150,324.14
Fri May 10 2024 09:40:00 GMT+0530 (India Standard Time),275.65,282.45,243.1,245.2,66475,207850,324.14
Fri May 10 2024 09:45:00 GMT+0530 (India Standard Time),245.2,250.35,239.8,244.25,41450,215450,310.54
Fri May 10 2024 09:50:00 GMT+0530 (India Standard Time),244.25,250,219.45,220.25,67900,219725,303.93
Fri May 10 2024 09:55:00 GMT+0530 (India Standard Time),220.25,226.45,209.15,211.2,84875,223750,284.53
Fri May 10 2024 10:00:00 GMT+0530 (India Standard Time),211.2,220.75,207.35,215.35,60650,245400,276.99
Fri May 10 2024 10:05:00 GMT+0530 (India Standard Time),215.35,220.95,204.55,216.15,78600,258675,273.73
Fri May 10 2024 10:10:00 GMT+0530 (India Standard Time),216.15,218.75,206.8,211.85,58250,260200,270.16
Fri May 10 2024 10:15:00 GMT+0530 (India Standard Time),211.85,216.15,197,206.25,80975,260050,263.97
Fri May 10 2024 10:20:00 GMT+0530 (India Standard Time),206.25,229.15,206.25,220.6,126625,258775,263.97
Fri May 10 2024 10:25:00 GMT+0530 (India Standard Time),220.6,229.25,212.9,223.45,37275,259250,263.97
Fri May 10 2024 10:30:00 GMT+0530 (India Standard Time),223.45,232.85,211.7,216.1,70200,252575,263.97
Fri May 10 2024 10:35:00 GMT+0530 (India Standard Time),216.1,223.6,210.55,221.05,48325,257725,263.97
Fri May 10 2024 10:40:00 GMT+0530 (India Standard Time),220.7,228.2,219.3,225.55,24675,257350,263.97
Fri May 10 2024 10:45:00 GMT+0530 (India Standard Time),225.55,250.85,224.65,244.4,106650,249750,263.97
Fri May 10 2024 10:50:00 GMT+0530 (India Standard Time),244.4,279.3,240,273.95,116025,237750,204.3
Fri May 10 2024 10:55:00 GMT+0530 (India Standard Time),273.95,278.6,257.85,267.9,78650,248325,204.3
Fri May 10 2024 11:00:00 GMT+0530 (India Standard Time),267.9,280.1,264,266.8,58450,260375,210.27
Fri May 10 2024 11:05:00 GMT+0530 (India Standard Time),266.8,266.8,244.65,250.05,78900,236975,210.27
Fri May 10 2024 11:10:00 GMT+0530 (India Standard Time),250.05,255.85,244,253.65,23150,237050,210.27
Fri May 10 2024 11:15:00 GMT+0530 (India Standard Time),253.65,256.85,234.4,236.05,42500,236925,210.27
Fri May 10 2024 11:20:00 GMT+0530 (India Standard Time),236.05,241.95,227.4,228.5,53875,235550,210.27
Fri May 10 2024 11:25:00 GMT+0530 (India Standard Time),228.5,238.55,225.8,234.85,54225,238350,210.27
Fri May 10 2024 11:30:00 GMT+0530 (India Standard Time),234.85,245.7,234.3,245.35,37325,242425,210.27
Fri May 10 2024 11:35:00 GMT+0530 (India Standard Time),245.35,258.85,241.95,253.65,61325,242625,210.27
Fri May 10 2024 11:40:00 GMT+0530 (India Standard Time),253.65,263.2,245.45,251.5,61700,254750,210.27
Fri May 10 2024 11:45:00 GMT+0530 (India Standard Time),251.5,270.2,249.95,265.5,40000,245500,210.27
Fri May 10 2024 11:50:00 GMT+0530 (India Standard Time),265.5,275.5,261.5,269,81350,239350,216.93
Fri May 10 2024 11:55:00 GMT+0530 (India Standard Time),269,278.95,266.9,268.85,32900,238825,223.56
Fri May 10 2024 12:00:00 GMT+0530 (India Standard Time),268.85,269.4,255.75,267.85,27575,235400,223.56
Fri May 10 2024 12:05:00 GMT+0530 (India Standard Time),267.85,273.6,255.6,258.4,24750,235200,223.56
Fri May 10 2024 12:10:00 GMT+0530 (India Standard Time),258.4,270.3,253.15,267.65,19825,237375,223.56
Fri May 10 2024 12:15:00 GMT+0530 (India Standard Time),267.65,279.75,262.55,272.25,26950,238350,223.56
Fri May 10 2024 12:20:00 GMT+0530 (India Standard Time),272.25,272.55,262.2,270.55,16750,239450,223.56
Fri May 10 2024 12:25:00 GMT+0530 (India Standard Time),270.55,292.95,267.9,273.6,64175,240400,229.39
Fri May 10 2024 12:30:00 GMT+0530 (India Standard Time),273.6,273.6,261,268,24575,240025,229.39
Fri May 10 2024 12:35:00 GMT+0530 (India Standard Time),268,271.3,259.6,270.25,21150,243650,229.39
Fri May 10 2024 12:40:00 GMT+0530 (India Standard Time),270.25,275,264.95,271.4,21575,244225,229.39
Fri May 10 2024 12:45:00 GMT+0530 (India Standard Time),273.6,288.65,272.3,278.4,51350,235250,234.76
Fri May 10 2024 12:50:00 GMT+0530 (India Standard Time),278.3,288,273.4,286.7,20900,235450,235.26
Fri May 10 2024 12:55:00 GMT+0530 (India Standard Time),286.7,301.05,278,297.4,49975,233550,240.7
Fri May 10 2024 13:00:00 GMT+0530 (India Standard Time),298.4,308.8,284.15,292.35,57675,228425,244.06
Fri May 10 2024 13:05:00 GMT+0530 (India Standard Time),292.35,297.05,282.05,297.05,19550,231025,244.06
Fri May 10 2024 13:10:00 GMT+0530 (India Standard Time),297.05,307.7,292.1,302,28225,229475,249.19
Fri May 10 2024 13:15:00 GMT+0530 (India Standard Time),302,312.8,294,308.2,34450,226950,251.88
Fri May 10 2024 13:20:00 GMT+0530 (India Standard Time),308.05,309.6,289.55,300.25,18025,230425,251.88
Fri May 10 2024 13:25:00 GMT+0530 (India Standard Time),300.25,301.5,278.5,283.05,18875,228825,251.88
Fri May 10 2024 13:30:00 GMT+0530 (India Standard Time),283.05,285.9,259.05,275.8,48300,225150,251.88
