Date,Open,High,Low,Close,OI,"Trend ‌Supertrend‌ (7,3)"
Thu May 09 2024 10:00:00 GMT+0530 (India Standard Time),747.35,760,744,758,46375,674.36
Thu May 09 2024 10:05:00 GMT+0530 (India Standard Time),758,758,735.85,735.85,46375,674.36
Thu May 09 2024 10:10:00 GMT+0530 (India Standard Time),735.85,778,735.85,770.85,46950,674.36
Thu May 09 2024 10:15:00 GMT+0530 (India Standard Time),770.85,776,762.25,770,47725,691.88
Thu May 09 2024 10:20:00 GMT+0530 (India Standard Time),770,820,770,820,48575,707.36
Thu May 09 2024 10:25:00 GMT+0530 (India Standard Time),819.55,835.4,819.55,831.1,48775,745.56
Thu May 09 2024 10:30:00 GMT+0530 (India Standard Time),831.1,832.25,824.85,824.85,48750,755.17
Thu May 09 2024 10:35:00 GMT+0530 (India Standard Time),824.85,825.1,812,825.1,48775,755.17
Thu May 09 2024 10:40:00 GMT+0530 (India Standard Time),825.1,830,815.9,830,46800,758.18
Thu May 09 2024 10:45:00 GMT+0530 (India Standard Time),830,837,828,837,45800,773.13
Thu May 09 2024 10:50:00 GMT+0530 (India Standard Time),837,837.35,826,837.35,45900,775.92
Thu May 09 2024 10:55:00 GMT+0530 (India Standard Time),837.35,838,823,823,45675,776.28
Thu May 09 2024 11:00:00 GMT+0530 (India Standard Time),823,830,823,830,45675,777.03
Thu May 09 2024 11:05:00 GMT+0530 (India Standard Time),830,850,830,836.55,45425,789.02
Thu May 09 2024 11:10:00 GMT+0530 (India Standard Time),836.55,843.65,836.55,838.55,45300,793.36
Thu May 09 2024 11:15:00 GMT+0530 (India Standard Time),838.55,838.55,836.4,836.4,45175,796.49
Thu May 09 2024 11:20:00 GMT+0530 (India Standard Time),836.4,850.85,836.4,845,44900,802.3
Thu May 09 2024 11:25:00 GMT+0530 (India Standard Time),845,852.15,832,845.85,44650,802.3
Thu May 09 2024 11:30:00 GMT+0530 (India Standard Time),845.85,850.85,834.6,837.2,44400,802.3
Thu May 09 2024 11:35:00 GMT+0530 (India Standard Time),837.2,837.6,820.6,820.6,43650,802.3
Thu May 09 2024 11:40:00 GMT+0530 (India Standard Time),820.6,820.6,815,815,43775,802.3
Thu May 09 2024 11:45:00 GMT+0530 (India Standard Time),815,818,800.25,809.7,43925,802.3
Thu May 09 2024 11:50:00 GMT+0530 (India Standard Time),809.7,816.45,802.5,816.45,43675,802.3
Thu May 09 2024 11:55:00 GMT+0530 (India Standard Time),816.45,824,812.35,812.35,43550,802.3
Thu May 09 2024 12:00:00 GMT+0530 (India Standard Time),812.35,815.8,810,815.8,43525,802.3
Thu May 09 2024 12:05:00 GMT+0530 (India Standard Time),815.8,815.8,815.8,815.8,43525,802.3
Thu May 09 2024 12:10:00 GMT+0530 (India Standard Time),815.8,821.1,806.95,806.95,43100,802.3
Thu May 09 2024 12:15:00 GMT+0530 (India Standard Time),806.95,807.55,778.75,787.3,43075,834.84
Thu May 09 2024 12:20:00 GMT+0530 (India Standard Time),787.3,795.25,787,794.3,43125,830.4
Thu May 09 2024 12:25:00 GMT+0530 (India Standard Time),794.3,818,794.3,815,43050,830.4
Thu May 09 2024 12:30:00 GMT+0530 (India Standard Time),815,822,815,820.4,43125,830.4
